Vehicle ID,Trip start,Trip end,Trip duration (min),Trip distance (km),Idle time (min),Stop-start count,Avg speed,Avg engine load,Driving pattern
VEH-002,2025-12-20T10:05:00+00:00,2025-12-20T19:35:00+00:00,570,802.7,15,3,84.5,58.3,Highway Cruise
VEH-002,2025-12-21T02:00:00+00:00,2025-12-21T20:35:00+00:00,1115,1153.3,320,4,62.1,46.7,Highway Cruise (Long Haul)
VEH-002,2025-12-21T23:40:00+00:00,2025-12-22T19:10:00+00:00,1170,1177.0,365,3,60.4,45.1,Highway Cruise (Long Haul)
VEH-002,2025-12-23T01:25:00+00:00,2025-12-23T06:00:00+00:00,275,110.2,10,2,24.0,33.0,City Delivery
VEH-002,2025-12-23T07:55:00+00:00,2025-12-23T10:15:00+00:00,140,67.0,0,0,28.7,35.4,City Delivery
VEH-002,2025-12-23T16:55:00+00:00,2025-12-23T21:20:00+00:00,265,128.4,0,0,29.1,36.6,City Delivery
VEH-002,2025-12-24T00:25:00+00:00,2025-12-24T03:00:00+00:00,155,55.1,10,2,21.3,32.2,City Delivery
VEH-002,2025-12-24T08:50:00+00:00,2025-12-24T17:45:00+00:00,535,755.6,10,2,84.7,58.9,Highway Cruise
VEH-002,2025-12-24T19:10:00+00:00,2025-12-24T22:25:00+00:00,195,89.0,10,2,27.4,36.1,City Delivery
VEH-002,2025-12-25T00:40:00+00:00,2025-12-25T02:15:00+00:00,95,40.7,0,0,25.7,36.4,City Delivery
VEH-002,2025-12-25T09:25:00+00:00,2025-12-25T18:50:00+00:00,565,816.4,5,1,86.7,60.0,Highway Cruise
VEH-002,2025-12-26T04:15:00+00:00,2025-12-26T07:30:00+00:00,195,287.0,0,0,88.3,59.6,Highway Cruise
VEH-002,2025-12-26T09:35:00+00:00,2025-12-27T08:25:00+00:00,1370,1476.7,345,3,64.7,47.5,Highway Cruise (Long Haul)
VEH-002,2025-12-27T18:25:00+00:00,2025-12-28T00:10:00+00:00,345,497.1,0,0,86.5,59.6,Highway Cruise
VEH-002,2025-12-28T04:00:00+00:00,2025-12-28T10:55:00+00:00,415,434.6,5,1,62.8,74.7,Heavy Haul
VEH-002,2025-12-28T18:50:00+00:00,2025-12-29T08:35:00+00:00,825,1201.3,5,1,87.4,59.7,Highway Cruise (Long Haul)
VEH-002,2025-12-29T14:50:00+00:00,2025-12-30T00:50:00+00:00,600,852.3,15,3,85.2,57.9,Highway Cruise
VEH-002,2025-12-30T05:35:00+00:00,2025-12-30T07:25:00+00:00,110,51.9,0,0,28.3,37.0,City Delivery
VEH-002,2025-12-30T17:10:00+00:00,2025-12-30T20:00:00+00:00,170,73.5,5,1,25.9,34.8,City Delivery
VEH-003,2025-12-01T00:00:00+00:00,2025-12-01T03:40:00+00:00,220,102.1,0,0,27.9,35.4,City Delivery
VEH-003,2025-12-01T10:25:00+00:00,2025-12-01T12:50:00+00:00,145,61.0,10,2,25.2,32.7,City Delivery
VEH-003,2025-12-01T15:00:00+00:00,2025-12-01T19:05:00+00:00,245,344.5,5,1,84.4,59.2,Highway Cruise
VEH-003,2025-12-01T21:30:00+00:00,2025-12-02T02:05:00+00:00,275,124.5,0,0,27.2,34.9,City Delivery
VEH-003,2025-12-02T07:30:00+00:00,2025-12-02T10:55:00+00:00,205,300.7,0,0,88.0,61.1,Highway Cruise
VEH-003,2025-12-02T18:10:00+00:00,2025-12-02T23:40:00+00:00,330,483.8,0,0,88.0,61.1,Highway Cruise
VEH-003,2025-12-03T05:40:00+00:00,2025-12-03T16:35:00+00:00,655,945.5,15,3,86.6,59.6,Highway Cruise
VEH-003,2025-12-03T17:50:00+00:00,2025-12-03T23:45:00+00:00,355,515.1,5,1,87.1,59.7,Highway Cruise
VEH-003,2025-12-04T01:00:00+00:00,2025-12-04T03:50:00+00:00,170,236.1,5,1,83.3,56.7,Highway Cruise
VEH-003,2025-12-04T07:55:00+00:00,2025-12-04T18:00:00+00:00,605,871.1,5,1,86.4,58.9,Highway Cruise
VEH-003,2025-12-04T20:05:00+00:00,2025-12-05T05:55:00+00:00,590,850.4,5,1,86.5,59.8,Highway Cruise
VEH-003,2025-12-05T12:40:00+00:00,2025-12-05T15:00:00+00:00,140,51.2,10,2,22.0,33.1,City Delivery
VEH-003,2025-12-05T17:05:00+00:00,2025-12-06T07:50:00+00:00,885,892.4,20,4,60.5,72.9,Heavy Haul
VEH-003,2025-12-06T14:50:00+00:00,2025-12-06T22:25:00+00:00,455,653.1,10,2,86.1,59.8,Highway Cruise
VEH-003,2025-12-07T01:00:00+00:00,2025-12-07T02:45:00+00:00,105,44.2,0,0,25.3,32.8,City Delivery
VEH-003,2025-12-07T05:55:00+00:00,2025-12-07T10:10:00+00:00,255,124.3,5,1,29.3,36.0,City Delivery
VEH-003,2025-12-07T16:35:00+00:00,2025-12-07T18:45:00+00:00,130,51.7,15,3,23.9,31.2,City Delivery
VEH-003,2025-12-07T23:00:00+00:00,2025-12-08T14:00:00+00:00,900,796.7,130,1,53.1,65.9,Heavy Haul
VEH-003,2025-12-08T21:30:00+00:00,2025-12-09T02:35:00+00:00,305,134.2,20,4,26.4,34.9,City Delivery
VEH-003,2025-12-09T09:50:00+00:00,2025-12-09T17:15:00+00:00,445,631.4,15,3,85.1,58.4,Highway Cruise
VEH-003,2025-12-09T23:55:00+00:00,2025-12-10T03:05:00+00:00,190,285.7,0,0,90.2,61.6,Highway Cruise
VEH-003,2025-12-10T12:55:00+00:00,2025-12-10T15:55:00+00:00,180,253.0,5,1,84.3,57.1,Highway Cruise
VEH-003,2025-12-11T01:10:00+00:00,2025-12-11T11:30:00+00:00,620,878.2,15,3,85.0,58.4,Highway Cruise
VEH-003,2025-12-11T19:55:00+00:00,2025-12-12T00:40:00+00:00,285,125.9,5,1,26.5,35.8,City Delivery
VEH-003,2025-12-12T01:45:00+00:00,2025-12-12T03:05:00+00:00,80,34.0,0,0,25.5,35.4,City Delivery
VEH-003,2025-12-12T11:30:00+00:00,2025-12-12T16:10:00+00:00,280,125.2,5,1,26.8,34.7,City Delivery
VEH-003,2025-12-12T18:05:00+00:00,2025-12-12T22:40:00+00:00,275,394.7,5,1,86.1,59.6,Highway Cruise
VEH-003,2025-12-13T08:40:00+00:00,2025-12-13T12:15:00+00:00,215,98.9,0,0,27.6,37.5,City Delivery
VEH-003,2025-12-13T18:00:00+00:00,2025-12-13T21:10:00+00:00,190,88.3,0,0,27.9,35.9,City Delivery
VEH-003,2025-12-14T01:35:00+00:00,2025-12-14T05:10:00+00:00,215,111.6,0,0,31.1,36.1,City Delivery
VEH-003,2025-12-14T07:30:00+00:00,2025-12-14T19:35:00+00:00,725,730.8,10,2,60.5,73.7,Heavy Haul
VEH-003,2025-12-14T21:20:00+00:00,2025-12-15T01:50:00+00:00,270,122.0,0,0,27.1,36.1,City Delivery
VEH-003,2025-12-15T06:35:00+00:00,2025-12-15T09:05:00+00:00,150,61.6,5,1,24.6,35.0,City Delivery
VEH-003,2025-12-15T15:40:00+00:00,2025-12-15T23:00:00+00:00,440,629.4,15,2,85.8,59.1,Highway Cruise
VEH-003,2025-12-16T07:55:00+00:00,2025-12-16T14:30:00+00:00,395,414.7,5,1,63.0,74.7,Heavy Haul
VEH-003,2025-12-16T20:45:00+00:00,2025-12-17T10:20:00+00:00,815,827.7,20,4,60.9,73.0,Heavy Haul
VEH-003,2025-12-17T18:30:00+00:00,2025-12-18T04:05:00+00:00,575,837.3,5,1,87.4,60.4,Highway Cruise
VEH-003,2025-12-18T12:05:00+00:00,2025-12-18T14:30:00+00:00,145,70.1,0,0,29.0,35.6,City Delivery
VEH-003,2025-12-18T23:15:00+00:00,2025-12-19T09:35:00+00:00,620,890.5,0,0,86.2,58.7,Highway Cruise
VEH-003,2025-12-19T15:55:00+00:00,2025-12-19T19:50:00+00:00,235,105.5,15,3,26.9,35.5,City Delivery
VEH-003,2025-12-20T04:30:00+00:00,2025-12-20T09:30:00+00:00,300,125.3,5,1,25.1,36.2,City Delivery
VEH-003,2025-12-20T10:30:00+00:00,2025-12-20T16:05:00+00:00,335,482.9,5,1,86.5,59.4,Highway Cruise
VEH-003,2025-12-21T00:45:00+00:00,2025-12-21T03:35:00+00:00,170,67.6,0,0,23.9,34.3,City Delivery
VEH-003,2025-12-21T13:15:00+00:00,2025-12-21T14:40:00+00:00,85,41.7,0,0,29.4,38.9,City Delivery
VEH-003,2025-12-21T19:50:00+00:00,2025-12-22T00:45:00+00:00,295,123.8,15,3,25.2,34.9,City Delivery
VEH-003,2025-12-22T09:40:00+00:00,2025-12-22T11:10:00+00:00,90,44.9,0,0,29.9,34.8,City Delivery
VEH-003,2025-12-22T19:40:00+00:00,2025-12-23T04:20:00+00:00,520,524.6,15,3,60.5,73.8,Heavy Haul
VEH-003,2025-12-23T11:00:00+00:00,2025-12-23T13:40:00+00:00,160,60.2,15,2,22.6,33.0,City Delivery
VEH-003,2025-12-23T21:15:00+00:00,2025-12-23T22:25:00+00:00,70,34.6,0,0,29.6,35.9,City Delivery
VEH-003,2025-12-24T05:10:00+00:00,2025-12-25T08:30:00+00:00,1640,1715.1,465,1,62.7,46.4,Highway Cruise (Long Haul)
VEH-003,2025-12-25T12:45:00+00:00,2025-12-25T21:50:00+00:00,545,771.6,15,3,84.9,58.5,Highway Cruise
VEH-003,2025-12-26T03:35:00+00:00,2025-12-26T12:50:00+00:00,555,570.3,10,2,61.7,73.8,Heavy Haul
VEH-003,2025-12-26T14:00:00+00:00,2025-12-27T14:30:00+00:00,1470,1620.0,365,7,66.1,47.9,Highway Cruise (Long Haul)
VEH-003,2025-12-27T23:00:00+00:00,2025-12-28T04:30:00+00:00,330,485.1,0,0,88.2,60.0,Highway Cruise
VEH-003,2025-12-28T06:35:00+00:00,2025-12-28T17:05:00+00:00,630,894.7,10,2,85.2,59.2,Highway Cruise
VEH-003,2025-12-29T02:20:00+00:00,2025-12-29T04:00:00+00:00,100,53.6,5,1,32.2,36.7,City Delivery
VEH-003,2025-12-29T05:30:00+00:00,2025-12-29T07:30:00+00:00,120,52.5,0,0,26.2,32.8,City Delivery
VEH-003,2025-12-29T09:50:00+00:00,2025-12-29T15:05:00+00:00,315,139.9,20,4,26.6,34.9,City Delivery
VEH-003,2025-12-30T00:50:00+00:00,2025-12-30T05:20:00+00:00,270,114.9,5,1,25.5,35.3,City Delivery
VEH-003,2025-12-30T08:55:00+00:00,2025-12-30T10:10:00+00:00,75,30.8,5,0,24.6,33.1,City Delivery
VEH-003,2025-12-30T15:15:00+00:00,2025-12-30T21:00:00+00:00,345,498.6,0,0,86.7,59.7,Highway Cruise
VEH-004,2025-12-01T00:00:00+00:00,2025-12-01T08:50:00+00:00,530,771.3,5,1,87.3,60.4,Highway Cruise
VEH-004,2025-12-01T15:50:00+00:00,2025-12-01T18:20:00+00:00,150,70.4,0,0,28.2,37.0,City Delivery
VEH-004,2025-12-02T02:25:00+00:00,2025-12-02T08:05:00+00:00,340,495.4,5,1,87.4,59.9,Highway Cruise
VEH-004,2025-12-02T18:00:00+00:00,2025-12-03T00:50:00+00:00,410,594.2,0,0,87.0,60.0,Highway Cruise
VEH-004,2025-12-03T10:15:00+00:00,2025-12-03T16:10:00+00:00,355,513.2,5,1,86.7,59.6,Highway Cruise
VEH-004,2025-12-03T22:15:00+00:00,2025-12-04T08:40:00+00:00,625,655.6,10,2,62.9,75.3,Heavy Haul
VEH-004,2025-12-04T14:25:00+00:00,2025-12-04T17:35:00+00:00,190,80.8,5,1,25.5,35.2,City Delivery
VEH-004,2025-12-05T02:40:00+00:00,2025-12-05T05:00:00+00:00,140,56.5,5,1,24.2,33.5,City Delivery
VEH-004,2025-12-05T07:55:00+00:00,2025-12-05T17:50:00+00:00,595,851.3,15,3,85.8,59.6,Highway Cruise
VEH-004,2025-12-05T19:15:00+00:00,2025-12-05T22:10:00+00:00,175,87.5,0,0,30.0,36.5,City Delivery
VEH-004,2025-12-06T05:40:00+00:00,2025-12-06T15:15:00+00:00,575,606.2,5,1,63.3,75.4,Heavy Haul
VEH-004,2025-12-06T20:25:00+00:00,2025-12-07T00:30:00+00:00,245,112.9,0,0,27.6,36.1,City Delivery
VEH-004,2025-12-07T08:55:00+00:00,2025-12-07T12:50:00+00:00,235,118.2,10,2,30.2,36.4,City Delivery
VEH-004,2025-12-07T16:10:00+00:00,2025-12-07T17:30:00+00:00,80,39.0,0,0,29.3,35.6,City Delivery
VEH-004,2025-12-07T19:00:00+00:00,2025-12-07T22:10:00+00:00,190,84.9,0,0,26.8,35.8,City Delivery
VEH-004,2025-12-08T05:20:00+00:00,2025-12-08T09:40:00+00:00,260,113.4,0,0,26.2,35.2,City Delivery
VEH-004,2025-12-08T18:30:00+00:00,2025-12-09T00:55:00+00:00,385,542.5,10,2,84.5,58.0,Highway Cruise
VEH-004,2025-12-09T07:50:00+00:00,2025-12-09T18:35:00+00:00,645,924.7,10,2,86.0,59.1,Highway Cruise
VEH-004,2025-12-09T20:20:00+00:00,2025-12-09T22:25:00+00:00,125,55.5,0,0,26.6,36.8,City Delivery
VEH-004,2025-12-10T02:30:00+00:00,2025-12-10T07:30:00+00:00,300,129.2,0,0,25.8,34.9,City Delivery
VEH-004,2025-12-10T11:20:00+00:00,2025-12-10T14:15:00+00:00,175,79.1,0,0,27.1,36.5,City Delivery
VEH-004,2025-12-10T23:20:00+00:00,2025-12-11T01:30:00+00:00,130,58.4,5,1,26.9,36.1,City Delivery
VEH-004,2025-12-11T03:30:00+00:00,2025-12-11T05:10:00+00:00,100,43.0,0,0,25.8,36.1,City Delivery
VEH-004,2025-12-11T12:55:00+00:00,2025-12-11T17:55:00+00:00,300,139.2,0,0,27.8,35.1,City Delivery
VEH-004,2025-12-12T03:45:00+00:00,2025-12-12T10:00:00+00:00,375,389.1,10,2,62.3,73.8,Heavy Haul
VEH-004,2025-12-12T19:55:00+00:00,2025-12-12T23:35:00+00:00,220,96.9,0,0,26.4,36.1,City Delivery
VEH-004,2025-12-13T01:35:00+00:00,2025-12-13T11:15:00+00:00,580,832.0,10,2,86.1,58.6,Highway Cruise
